word	n_tokens	n_docs	sites	top_series	damaged_share
qe-re-ma-o	5	5	TH:3,KN:1,PY:1	Fq:3,V-:1,Qa:1	0.60
ka-sa-to	5	5	PY:2,MY:2,KN:1	Ve:1,An:1,Jn:1	0.00
ke-re-za	5	5	PY:5	Aa:2,Ab:2,Ad:1	0.00
te-ko-to-a-pe	5	1	PY:5	An:5	0.00
qo-u-ko-ro	5	5	PY:4,TI:1	An:3,Nn:1,Ef:1	0.60
e-ro-ma-to	5	1	PY:5	An:5	0.40
a-pi-a2-ro	5	5	PY:5	Ea:3,An:1,Qa:1	0.00
u-ru-pi-ja-jo	5	5	PY:5	An:3,Cn:1,Na:1	0.20
e-na-po-ro	5	5	PY:5	An:1,Cn:1,Na:1	0.00
e-to-ni-jo	5	5	PY:5	Eb:2,Ep:2,An:1	0.20
to-to	5	1	PY:5	Aq:5	0.00
i-je-re-u	5	5	PY:5	Qa:2,Aq:1,Eo:1	0.40
e-ko-me-no	5	4	PY:5	Cn:3,Na:2	0.00
ra-wa-ra-ti-jo	5	1	PY:5	Cn:5	0.00
u-po-ra-ki-ri-ja	5	1	PY:5	Cn:5	0.00
qe-ta-ko	5	5	PY:5	Cn:4,Jn:1	0.20
ka-na-pe-u	5	4	PY:5	En:2,Eo:2,Cn:1	0.00
ru-ko-ro	5	5	PY:5	Ea:5	0.40
e-ke-e	5	3	PY:5	Eb:2,Ep:2,Ta:1	0.00
ko-to-na-o	5	5	PY:5	Eb:2,Ed:1,Ep:1	0.20
o-na-ta	5	5	PY:5	Ed:4,Eb:1	0.00
pa-da-je-we	5	2	PY:5	Eo:4,Eb:1	0.20
o-na-te-re	5	3	PY:5	En:5	0.00
ta-ra2-to	5	4	PY:5	En:3,Eo:2	0.00
o-ro-jo	5	1	PY:5	Eq:5	0.00
ka-ru-ke	5	2	PY:5	Fn:4,Un:1	0.00
e-ra3-wo	5	5	PY:5	Fr:5	0.40
ro-u-si-jo	5	5	PY:5	Fr:2,Ua:1,Un:1	0.00
so-we-no-qe	5	3	PY:5	Ta:5	0.00
ko-ru-we	5	5	TH:5	Fq:4,Av:1	0.40
o-po-re-i	5	5	TH:5	Fq:5	0.40
pi-ra-ko-ro	5	5	TH:5	Fq:5	0.20
ka-si	5	5	TH:5	Ft:5	0.80
pa-de	4	4	KN:4	Fp:2,Fs:1,Ga:1	0.25
ka-ra-e-ri-jo	4	4	KN:4	Fp:4	0.25
di-ka-ta-de	4	4	KN:4	F-:2,Fp:1,Fh:1	0.50
ki-to	4	4	KN:4	L-:2,Fs:1,Dk:1	0.50
