word	slots	n_tablets
ka-ni-to	N3	2
a-pi-me-de	N1,N4	2
si-ra-pe-te-so	N5,N6	1
po-da-ko-qe	N1	2
po-me-ne	N1,N7	2
ke-ro	N1,N5	2
to-ma-ko-qe	N1	2
po-ro	N1,N3	2
o-no	N1,N1b	2
jo-te	N1,N3	2
a3-ta-ro-we	N1,N3	2
we-to-ro	N5,N6	1
ma-jo	N3,N6	2
ki-zo	N5,N6	1
pe-ri-te-u	N1	2
ri-mi-jo	N7	2
a-ke-ra-no	N5,N6	1
re-to	N1,N3	1
e-ri-we-ro	N2	2
ru-na	N1,N2	2
a-ne-u-da	N5,N6	1
pe-ri-qo-ta-o	N3	2
ke-ku-ro	N2,N6	2
ra-wi-ja-ja	N1	2
a-mi-ni-si-jo	N1,N6	2
ka-mi-ni-to	N3	2
ke-ti-ro	N1,N6	2
pa-i-ti-ja	N1,N3	1
u-ru-pi-ja-jo	N1	2
a-ke-ti-ra2	N1	2
ke-u	N3,N5	2
ro-ru	N1,N3	2
i-ta-no	N1,N6	1
me-na	N7	2
a-i-qe-we	N2,N7	1
a-ku-di-ri-jo	N3,N6	2
ta-so	N1b,N3	2
ru-we-ta	N1b,N2	1
ti-ri-po-di-ko	N1,N2	1
i-e-re-u	N4	2
e-ro	N4	2
pa-ti	N1,N3	2
o-pi-ti-ni-ja-ta	N4	2
da-zo	N1,N6	1
no-re	N1,N5	2
wi-je-mo	N1,N3	2
no-da-ro	N1,N3	2
to-ni	N3,N5	2
ke-ta	N1,N4	2
ku-ri-sa-to	N1,N1b	2
ma-ra-si-jo	N1	2
ko-ro-sa-no	N5,N6	1
ka-ra-we	N1	2
ki-ne-u	N1,N6	1
sa-ma-ri-wa-ta	N1,N3	2
ri-ja-ko	N1,N5	2
a-pe-te-u	N1,N5	2
re-u-si-wo	N5	2
ri-ku-we	N5	2
po-ti-na-jo	N5	2
di-wo	N1b,N3	2
sa-ri-qo-ro	N1,N1b	2
ro-o-wa	N1	2
pe-ri	N3	2
wa-du-na-ro	N3	2
ru-wo	N1,N3	2
i-mo-ro-ne-u	N5,N6	1
ku-pa-ri-si-jo	N1,N1b	1
re-ta	N1,N6	1
ta-za	N3	2
ta-za-ro	N3,N5	2
u-ra-mo-no	N1,N3	2
wo-ka-re	N5,N6	1
po-me	N3,N4	2
te-u-to	N1	2
a-ti-jo	N1,N3	2
we-we-si-je-ja	N1	2
pu-ka-wo	N1	2
a-da-ra-te-ja	N1	2
u-ka	N1,N3	1
me-re-ti-ri-ja	N1	2
du-ni	N3	2
a-ma-ru-ta	N2,N7	1
ra-po-si-jo	N1,N3	1
ki-ti-ta	N1	2
te-ta-ra-ne	N1	2
a-po-ne-we	N1	2
za-e-to-ro	N1,N1b	2
a-no-ke-we	N1b,N3	2
no-qe	N1	2
a-ze-ti-ri-ja	N1,N7	2
qo-ta	N1,N5	2
i-wa-ka	N1,N5	2
a-ke-u	N3,N5	2
na-pu-ti-jo	N3,N5	2
ne-ri-to	N1,N2	1
po-ro-u-te-we	N1,N2	1
to-ro-wi	N1	2
a-no-po	N1,N2	1
ke-ro-wo	N1,N2	1
ra-pa-sa-ko	N1,N2	1
po-ke-we	N1,N2	1
a-we-ke-se-we	N1,N2	1
a-ta-ma-ne-we	N1,N2	1
ko-ro	N1,N2	1
me-te-we	N1,N2	1
ke-sa-me-no	N1,N2	1
pu-wi-no	N1,N2	1
ta-re-wo	N1,N3	1
ti-ma	N5,N6	1
ka-ma-e-we	N1,N2	2
e-ke-ne	N1,N1b	2
ki-ni-di-ja	N1	2
qe-re	N1,N6	2
o-ko-te	N6	2
po-ti-ni-ja	N1,N1b	2
