word	slots	n_docs
a-so-na	N1	1
a-so-qi-jo	N1	1
a-ta	N1	1
a-ta-ma-ne-we	N2	1
a-ta-ma-ta	N1	1
a-ta-no	N5,N6	1
a-ta-no-re	N2	1
a-ta-o	N1b,N5	2
a-ta-qe	N1	1
a-ta-ro-we	N1	1
a-ta-tu-ro	N5	1
a-ta-wo	N1	1
a-te-i-ja-ta	N3	2
a-te-jo	N3	9
a-te-mo	N3,N5	3
a-te-we	N1	1
a-ti-ja-wo	N5	1
a-ti-jo	N1	1
a-ti-pa-mo	N1	2
a-ti-ro	N3	1
a-to	N6	1
a-to-me-ja	N1,N6	1
a-to-mo	N1	1
a-to-po-qo	N1	2
a-tu-ko	N3,N5	3
a-tu-qo-ta	N1	1
a-wa-so	N3	2
a-wa-ti-ka-ra	N1	1
a-we-ke-se-u	N1,N5	2
a-we-ke-se-we	N2	1
a-we-u-pi	N1	1
a-wo-i-jo	N2,N3	2
a-wo-ro	N1	1
a-wo-ti-jo	N3	1
a-ze-o	N3	1
a-ze-ta	N3	1
a-ze-ti-ri-ja	N1,N6	1
a2-e-ta	N1	1
a2-ka-a2-ki-ri-ja-jo	N1b	1
a2-ki-ja	N1b	1
a2-nu-me-no	N5	1
a2-ra-tu-a	N1b	1
a2-ra-tu-wa	N1	1
a2-ta	N1	2
a3	N3	2
a3-du-wo-na	N1,N6	1
a3-ke-ta	N3	1
a3-ke-wa-to	N3	2
a3-ki	N1	1
a3-ki-e-we	N2	1
a3-ki-e-wo	N5	1
a3-ko-ta	N1,N1b	2
a3-ku-pi-ti-jo	N3	1
a3-mi-re-we	N3	9
a3-ni-jo	N5,N6	1
a3-nu-me-no	N1	1
a3-so-ni-jo	N1	2
a3-ta-ro	N1	1
a3-ta-ro-we	N3	1
a3-te-re	N1	1
a3-ti-jo-qe	N2,N7	1
a3-ti-jo-qo	N4	3
a3-to	N3	1
a3-wa-ta	N6	1
au	N1	1
au-ke-wa	N1	1
au-ri-jo	N3	2
au-ta-mo	N5	2
au-ta2	N3	1
au-wi-ja-to	N1	1
da	N3	2
da-i-ja-ke-re-u	N1	1
da-i-mi-so	N3	1
da-i-qo-ta	N3	1
da-i-ta-ra-ro	N3	1
da-i-ze-to	N3	1
da-ja-ro	N3	2
da-ka-sa-na-ta	N1b	1
da-ko-ro	N1	3
da-ko-so	N5,N6	1
da-ma	N3	1
da-mi-jo	N7	1
da-mi-ni-jo	N3	10
da-mo	N2,N6,N7	39
da-na	N1	1
da-na-jo	N3	1
da-na-ko	N1	1
da-o-ta	N5,N6	1
da-ra-ko	N3	1
da-ra-mu-ro	N3	1
da-ro	N3	1
da-te-ne-ja	N1	1
da-to-ja-ro	N3	1
da-to-ro	N3	2
da-u-ta-ro	N1	1
da-wa-no	N5,N6	1
da-wi	N3	1
da-wi-ja	N1b	1
da-wo	N3	13
de	N1	3
de-a-ta	N3	1
de-ke-se-u	N3	2
de-mo-qe	N2	1
de-ni-mo	N3	1
de-u-ki-jo-qe	N1	1
de-we-ra	N3	1
deest	N3	4
di	N1,N5	2
di-da-ka-re	N1b	1
di-de-ro	N3	1
di-ka-ta-ro	N3,N6	2
di-ki	N3	1
di-ki-nu-wo	N3	1
di-ko-to	N3	1
di-nu-wa-ta	N5	1
di-ra-po-ro	N4	1
di-ra-qo	N3	1
di-ra-wo-no	N5	1
di-ro	N3	1
di-ta-ka-so	N3	1
